[2026-04-11T22:09:38 poll=73] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T22:14:38 poll=74] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T22:19:38 poll=75] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T22:24:38 poll=76] full_m1_pareto=ALIVE:932151 (2/48 @6.394400) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T22:29:38 poll=77] full_m1_pareto=ALIVE:932151 (2/48 @6.394400) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:34:39 poll=78] full_m1_pareto=ALIVE:932151 (3/48 @7.152649) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:39:39 poll=79] full_m1_pareto=ALIVE:932151 (3/48 @7.152649) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:44:39 poll=80] full_m1_pareto=ALIVE:932151 (3/48 @7.152649) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:49:39 poll=81] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:54:39 poll=82] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T22:59:39 poll=83] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:04:39 poll=84] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:09:40 poll=85] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:14:40 poll=86] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:19:40 poll=87] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:24:40 poll=88] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (5/80 @7.451982)
[2026-04-11T23:29:40 poll=89] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (6/80 @0.869564)
[2026-04-11T23:34:40 poll=90] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (6/80 @0.869564)
[2026-04-11T23:39:40 poll=91] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (7/80 @2.100259)
[2026-04-11T23:44:41 poll=92] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (7/80 @2.100259)
[2026-04-11T23:49:41 poll=93] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (7/80 @2.100259)
[2026-04-11T23:54:41 poll=94] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-11T23:59:41 poll=95] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:04:41 poll=96] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:09:41 poll=97] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:14:41 poll=98] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:19:42 poll=99] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:24:42 poll=100] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:29:42 poll=101] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:34:42 poll=102] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:39:42 poll=103] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:44:42 poll=104] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:49:42 poll=105] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:54:43 poll=106] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T00:59:43 poll=107] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:04:43 poll=108] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:09:43 poll=109] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:14:43 poll=110] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:19:43 poll=111] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:24:43 poll=112] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:29:44 poll=113] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:34:44 poll=114] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (8/80 @9.482363)
[2026-04-12T01:39:44 poll=115] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T01:44:44 poll=116] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T01:49:44 poll=117] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T01:54:44 poll=118] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T01:59:44 poll=119] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:04:44 poll=120] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:09:45 poll=121] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:14:45 poll=122] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:19:45 poll=123] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:24:45 poll=124] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:29:45 poll=125] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:34:45 poll=126] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:39:45 poll=127] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (9/80 @3.957045)
[2026-04-12T02:44:46 poll=128] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (10/80 @7.505665)
[2026-04-12T02:49:46 poll=129] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (10/80 @7.505665)
[2026-04-12T02:54:46 poll=130] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (11/80 @3.277303)
[2026-04-12T02:59:46 poll=131] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (11/80 @3.277303)
[2026-04-12T03:04:46 poll=132] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (11/80 @3.277303)
[2026-04-12T03:09:46 poll=133] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:14:46 poll=134] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:19:47 poll=135] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:24:47 poll=136] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:29:47 poll=137] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:34:47 poll=138] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:39:47 poll=139] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:44:47 poll=140] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:49:47 poll=141] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:54:47 poll=142] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T03:59:48 poll=143] full_m1_pareto=ALIVE:932151 (4/48 @7.604786) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:04:48 poll=144] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:09:48 poll=145] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:14:48 poll=146] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:19:48 poll=147] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:24:48 poll=148] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:29:48 poll=149] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:34:49 poll=150] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
